event_id,title,club_name,categories,start_time,end_time,location,price,food,registration_required,status,description,image_url,school,club_type,ig_handle,source_url
3702,Sunday Classes,Ballroom Dance Club,"Creative Arts, Athletics","Sun, 29 Mar 2026 07:00 PM UTC","Sun, 29 Mar 2026 08:00 PM UTC",PAC Studio 1,50.0,,True,CONFIRMED,"Check out the link in our bio to register, find out more about what we do or to join our Discord! 💃🏻 

Reminder that classes start this Sunday, Jan 18th in PAC Studio 1. You can register online or sign up/pay at PAC front desk. 

We are also running our start of term demo and try-it session tonight!! No registration required!",https://bug-free-octo-spork.s3.us-east-2.amazonaws.com/events/a393098e-1ee7-4ff5-b35b-4063288ffab8.jpg,University of Waterloo,Athletics,uwballroom,https://www.instagram.com/p/DTk-hETjhak/
5024,Animusic EOT Concert,Animusic Ensembles,"Creative Arts, Cultural","Sun, 29 Mar 2026 07:30 PM UTC",,EXP 1689,,,False,CONFIRMED,"Konnichiwa mina-san! 🎉🎉

As the term come to an end, come enjoy our Winter 2026 End of Term Concert! Featuring our very talented musicians showcasing the beauty of anime and video game music. 💞💞

🗓 Date and Time: March 29th @3:30 PM
⛩️ Doors open: 2:30 PM
📍 Location: EXP 1689

Once again, special thanks to SLEF and MEF for funding a lot of our equipement and gear this term.

See you there!!🔥🔥🔥

Cover Art by @soyapaints",https://bug-free-octo-spork.s3.us-east-2.amazonaws.com/events/2ca0c24d-a82e-42d1-9a65-d8cd1d4ab414.jpg,University of Waterloo,WUSA,uw_animusic,https://www.instagram.com/p/DWF1UapDHHC/
4863,Outers Club Boating Courses,Outers Club,Athletics,"Sun, 29 Mar 2026 08:00 PM UTC","Sun, 29 Mar 2026 09:30 PM UTC",PAC Pool,,,True,CONFIRMED,"Looking for a way to sharpen up on your boating skills before the spring comes? 🚣Come join the Outers Club this Sunday and next at the PAC pool for exec run boating courses! 🛶 💧 Don’t forget to register with the link in our bio! 

📅Sunday March 22nd and 29th
⏰ 4:00 PM - 5:30 PM
📍PAC Pool
🔗 https://forms.gle/z6p1aHG52dDWtTKE6 (Also in our Bio!)

#uwoutersclub #waterloo #universityofwaterloo #boating #pool",https://bug-free-octo-spork.s3.us-east-2.amazonaws.com/events/f490664a-05c7-4291-b962-0e8a9eb7c6b3.jpg,University of Waterloo,Athletics,wloo.outersclub,https://www.instagram.com/p/DV7L9CPjVJ_/
5169,Claude Builder Club Dinner + Hack,Claude Builder Club @ UWaterloo,Social & Games,"Sun, 29 Mar 2026 08:30 PM UTC","Mon, 30 Mar 2026 01:30 AM UTC",PSE (Previously E7) 1st Floor Ideas Clinic,0.0,Yes!,True,CONFIRMED,"Come join us for our end of term event! Free dinner, fun hacks, and a good time. Details and link in Bio.",https://bug-free-octo-spork.s3.us-east-2.amazonaws.com/events/e170141c-29c6-4d31-8a52-1c91855a8fdb.jpg,University of Waterloo,,claudeuwaterloo,https://www.instagram.com/p/DWcC-hZiRkK/
4937,End Of Term Celebration,Table Tennis Club,Social & Games,"Sun, 29 Mar 2026 09:30 PM UTC","Sun, 29 Mar 2026 11:00 PM UTC",PAC 1001,,Pizza,True,CONFIRMED,"Join us for our End of Term Celebration 🍕💥

📅 When: March 29, 17:30- 19:00
📍Where : PAC 1001
🍕 Why: Because you deserve pizza after being such great members!
🫂 Who: Registered members only
📌 Register by March 22nd, 23:59

Registration link can be found in Bio ! See You Soon",https://bug-free-octo-spork.s3.us-east-2.amazonaws.com/events/ac0637aa-8852-4b86-bc64-0f0ef5b550e1.jpg,University of Waterloo,Athletics,uwaterloottc,https://www.instagram.com/p/DV_8HQEASwv/
4988,Art Sale,Society of Fine Arts,"Creative Arts, Sales & Fundraising","Mon, 30 Mar 2026 01:00 PM UTC","Mon, 30 Mar 2026 07:00 PM UTC",SLC Multi-Purpose Room,,,False,CONFIRMED,"ANOTHER ONE THANK YOU! We’re hosting another art sale this month because two is always better than one 👀

WHEN: Monday, March 30th from 9AM-3PM
WHERE: SLC Multi-Purpose Room

If you missed the last one, here’s your second chance! See you there 💋",https://bug-free-octo-spork.s3.us-east-2.amazonaws.com/events/eb0175a7-352b-44a4-b4b1-d8150f1b4db4.jpg,University of Waterloo,Student Society,uw_sofa,https://www.instagram.com/p/DWDIJCkDS8L/
5146,UWDBC Bake Sale,Dragon Boat Club,Sales & Fundraising,"Mon, 30 Mar 2026 01:00 PM UTC","Mon, 30 Mar 2026 08:00 PM UTC",SLC Marketplace,2.0,"Chocolate chip cookies, matcha cookies, brownies",False,CONFIRMED,"It's the last bake sale for the W26 term! 

We have chocolate chip cookies for $2, matcha cookies (yum) for $2.5 and brownies for $2.5! OR you can mix and match any 3 items for $5!

Date: March 30th, Monday 9am - 4pm
Location: SLC Marketplace

Come grab a sweet treat as we wrap up this term :) We hope to see you there!",https://bug-free-octo-spork.s3.us-east-2.amazonaws.com/events/936fb308-fab7-43af-a3d4-90b598ff6142.jpg,University of Waterloo,Athletics,wloo.dboat,https://www.instagram.com/p/DWX4karjFc2/
5106,Stitch & Switch,UW Sew-Ciety,"Creative Arts, Advocacy & Causes","Mon, 30 Mar 2026 08:00 PM UTC","Mon, 30 Mar 2026 10:00 PM UTC",PSE 1401,5.0,,True,CONFIRMED,"Got an old t-shirt you don’t use anymore that you could repurpose into a cute tote bag or scrunchie? Come to Sewciety and Yi Fabric’s collab event this Monday (March 30th) in PSE 1401 from 4-6pm!! 

Our sewing experts can help you make cute fun tote bags and scrunchies from your old shirts!! 👚 👕🌎

**event is $5 for admission to use supplies - FREE if you bring your own!!

Sign up here: https://l.instagram.com/?u=https%3A%2F%2Fdocs.google.com%2Fforms%2Fd%2Fe%2F1FAIpQLSdrJt_8aU5zzLDsiVj3ztepW0erAXmdhefCDoCljoTVw1eIDA%2Fviewform%3Fusp%3Dheader&e=AT6HKb_irqhhWvHwV1_g2isbwx5NvnDCo0EOizR_wt3049OV9vY2b-jMUUHYzHHylHPBv-1m23TIovQ2GS0hijr4BZ4fOVeW0-KVx4ifBwi0o-12Bf2hi-CrFK_MOGw35TjEgfPOE8vm

#uw #environmentallyfriendly #uwsewingclub #uwsewciety #ecofashion",https://bug-free-octo-spork.s3.us-east-2.amazonaws.com/events/deb991c7-4fef-437f-9428-7a2837894510.jpg,University of Waterloo,WUSA,uwsewciety,https://www.instagram.com/p/DWSP_wKGjFO/
5145,End Of Term Games Night,"Cooking Club, UW",Social & Games,"Mon, 30 Mar 2026 09:30 PM UTC","Mon, 30 Mar 2026 11:30 PM UTC",STC 3014,0.0,Pizza,False,CONFIRMED,"Hey Warriors! 🎲✨

We’re ending the term with a bang… EOT GAMES NIGHT is here 👀🔥

Looking for a fun way to unwind and relax before finals?🧘🏽‍♀️
We’ve got you covered with a night full of games, laughs, and FREE pizza! 😍🍕

Join us on March 30th for an evening of:
♟️ Board games with friends
🍿 Free pizza to keep you fueled 
🏆 Our fun “Perfect Cuts” Competition

Think you’ve got what it takes? 😏
Put your skills to the test and try to cut a mystery item into two perfectly equal-weight pieces—easier said than done ✂️⚖️

🗓️ Date: March 30th
⏰ Time: 5:30 PM – 7:30 PM
📍 Location: STC 3014

Whether you’re bringing your competitive side 😈 or just here for the vibes 🤪, this is your sign to take a break and have some fun before the term ends. 🥲💛

Tag your games night crew so they don’t miss out, and we hope to see you there!!! 😏🎉👇

 #uwaterloo #uwcookingclub #gamesnight #freepizza #waterloo",https://bug-free-octo-spork.s3.us-east-2.amazonaws.com/events/58364e3b-8227-40d0-be6e-5f18cca531d2.jpg,University of Waterloo,WUSA,uwcookingclub,https://www.instagram.com/p/DWXjghkkVKX/
3645,UW Improv Weekly Meetings,"Improv Club, UW","Creative Arts, Social & Games","Mon, 30 Mar 2026 10:00 PM UTC","Tue, 31 Mar 2026 12:00 AM UTC",AL 116,,,False,CONFIRMED,"UW IMPROV IS BACK WITH WEEKLY MEETINGS!

WHEN? Mondays & Wednesdays 6:00-8:00pm

WHERE? Arts Lecture Hall (AL), room 116!

IMPROV? Yes!!! AND you can join us as an audience member or participant!

All are welcome; no experience necessary!

Our Wednesday drop-in sessions are a fun, low-commitment way to get involved with improv-we run a variety of games! Any special events and themes will be announced the week of!

Our Monday workshops focus on learning and building improv skills, with topics posted each morning before the workshop.

Join our discord for announcements about workshop topics, events, shows and all things improv.

We can't for an amazing term full of improv fun! 🎭",https://bug-free-octo-spork.s3.us-east-2.amazonaws.com/events/b73f07ca-86d4-4a1a-9d71-30f4e801c120.jpg,University of Waterloo,WUSA,uwimprovisation,https://www.instagram.com/p/DTejjSDjnIX/
5075,Dynamic Duos: The Mentor & Mentee Showdown,Psychology Society,"Social & Games, Career & Networking","Mon, 30 Mar 2026 10:00 PM UTC","Tue, 31 Mar 2026 12:00 AM UTC",STC 2002,0.0,Bubble tea,True,CONFIRMED,"👀 Think you really know your mentor/mentee? Let’s put it to the test! 🎯

Mentors and mentees will go head-to-head in a fun, interactive game to see who knows each other best 🤭 

The winning pair will score FREE psychology merch 🧠✨

No mentor or mentee? No problem - bring a friend and join the fun!💙

🎁 Bonus perks: • First 20 mentors or mentees to register get FREE bubble tea 🧋 • Mentor/mentee pairs who attend together earn bonus points toward the prize 👯‍♀️

📅 March 30th ⏰ 6–8 PM 📍 STC 2002

🔗 Registration link is in our bio 

#events #studentlife #mentorship #psychology #pmp",https://bug-free-octo-spork.s3.us-east-2.amazonaws.com/events/859bd4e8-11d1-4ced-903c-bb05cedb650f.jpg,University of Waterloo,Student Society,uw_psychsoc,https://www.instagram.com/p/DWPAx8CjkM7/
5092,End Of Term General Meeting,UWaterloo EngiQueers,"Social & Games, Advocacy & Causes","Mon, 30 Mar 2026 10:00 PM UTC","Tue, 31 Mar 2026 01:00 AM UTC",POETS Lounge in CPH,,"Pizza, snacks, drinks",False,CONFIRMED,"Our last meeting of the term is next week! We will be holding our termly General Meeting which includes the election for the Fall 2026 president, presidential updates, EngiQueers Canada updates, and time to give feedback to execs. Pizza, snacks, and drinks will also be served after the general meeting!

If you have registered as a Full Member, its important you come to this meeting so we meet quorum! If you can't make it, you can proxy your vote to another Full Member by emailing engiqueers@engsoc.uwaterloo.ca. Any undergraduate engineering student can become a full member at any time by emailing us.

Date: Monday March 30th 6-9PM
Location: POETS Lounge in CPH",https://bug-free-octo-spork.s3.us-east-2.amazonaws.com/events/57c865d6-97ef-4897-834f-aefe5fcf671a.jpg,University of Waterloo,Student Society,uwengiqueers,https://www.instagram.com/p/DWRWeajjkEX/
5148,Chess Tournament,Mathematics Society,Social & Games,"Mon, 30 Mar 2026 10:00 PM UTC","Tue, 31 Mar 2026 01:30 AM UTC",MC Comfy,0.0,Yes!,True,CONFIRMED,"♟️ Ready for a Checkmate? Join us for a Chess Tournament, in collaboration with Chess Club! ♟️

📅 Date: Monday, March 30
⏰ Time: 6 - 9:30 PM (end time may vary)
📍 Location: MC Comfy

It’s a Swiss-style team tournament with teams based on your program! Sign-up today via link in bio! 

🖤 Come watch some intense matches, enjoy free snacks, and cheer on the players! Prizes await the winners! 🏆",https://bug-free-octo-spork.s3.us-east-2.amazonaws.com/events/0e7049f7-8af0-4459-83bf-8cb7c2ab90d9.jpg,University of Waterloo,Student Society,uwmathsoc,https://www.instagram.com/p/DWX6GvggB24/
5155,UWCLEC Korean Karaoke Night,"Culture and Language Exchange Club, UW (UWCLEC)","Social & Games, Cultural, Creative Arts","Mon, 30 Mar 2026 10:00 PM UTC","Tue, 31 Mar 2026 02:00 AM UTC",SLC Lower Flex Space,,,False,CONFIRMED,"main character energy only 🎤✨

UWCLEC Korean Karaoke Night is here 🇰🇷
grab the mic, sing your heart out, and vibe with us all night

🎶 sing along to your fav songs
🎤 solo or with friends
🔊 full karaoke setup

📍 SLC Lower Flex Space
🗓️ Mon, Mar 30th
🕕 6–10 PM",https://bug-free-octo-spork.s3.us-east-2.amazonaws.com/events/3894cc75-d4e4-4f9b-9e8b-57459a41bd60.jpg,University of Waterloo,WUSA,uwclecwaterloo,https://www.instagram.com/p/DWZmvCJD0SP/
5173,The Haunting of Hill House,WaterBoo!,Social & Games,"Mon, 30 Mar 2026 10:00 PM UTC",,Movie Night Voice Channel on our Discord (link in bio 👻),,,False,CONFIRMED,"You’re Expected...

Join us Monday at 6:00pm on the Movie Night Voice Channel on our Discord (link in bio 👻) for our first ever television show binge, featuring The Haunting of Hill House (2018), created by Mike Flanagan and starring Michiel Huisman, Carla Gugino, Henry Thomas 🏚️ 

“Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.”

We’ll be watching the first five episodes, so drop in anytime Monday night 👻

⚠️ This show may contain child abuse/death, familial death, suicide/self-harm, gaslighting, stalking, addiction, animal death, bugs, sexual assault, pedophilia, restraint/asphyxiation, body horror/mutilation, blood/gore, hanging, bone trauma, seizures, medical, unconsciousness, infidelity, jump scares, possession, vomit/spit, audio gore, needles, mental health, flashing lights, religion, ableism, sexual content, car crash, and homelessness",https://bug-free-octo-spork.s3.us-east-2.amazonaws.com/events/9d0f2bb5-de2a-4590-9296-b44ce37d1a67.jpg,University of Waterloo,WUSA,waterboo_uw,https://www.instagram.com/p/DWeHkaYjlo3/
5123,Alumni Panel,Double Degree Club,Career & Networking,"Mon, 30 Mar 2026 10:30 PM UTC","Mon, 30 Mar 2026 11:30 PM UTC",Microsoft Teams,,,True,CONFIRMED,"Join us for an engaging Alumni Panel where former members share their experiences, insights, and advice on navigating university, careers, and life beyond school!

This is a great opportunity to hear real stories, ask questions, and gain valuable perspectives from those who were once in your shoes. Whether you’re looking for guidance, inspiration, or connections, this panel offers something for everyone!! Stay tuned to meet our panelists…

Register via Luma: https://luma.com/ovlqjfa2
📍 Location: Microsoft Teams
🗓️ Monday, March 30th
⏰ 6:30 - 7:30 PM

#uwaterloo #laurier #alumni #analyst #career",https://bug-free-octo-spork.s3.us-east-2.amazonaws.com/events/89877939-5fe4-48df-80e9-9055bf120481.jpg,University of Waterloo,Student Society,doubledegreeclub,https://www.instagram.com/p/DWU1DL6Dqyb/
4841,Comedy Show,Stand-up Club,"Creative Arts, Social & Games","Mon, 30 Mar 2026 10:40 PM UTC",,SLC MPR,0.0,,False,CONFIRMED,Last show of the semester! If you ever wanted to come to one or our comedy shows this is the one. It’s in the multi-purpose room right beside the Bomber in the SLC.,https://bug-free-octo-spork.s3.us-east-2.amazonaws.com/events/7ee7b962-3354-46f0-9706-d5cf29978ef3.jpg,University of Waterloo,WUSA,uwcomedy,https://www.instagram.com/p/DV3z_jDDfzH/
4735,Open Mic for Palestine,Voices for Palestine,"Creative Arts, Cultural, Advocacy & Causes","Mon, 30 Mar 2026 11:00 PM UTC",,SLC Student Lounge,0.0,"Drinks, snacks",True,CONFIRMED,"OPEN MIC FOR PALESTINE AT UWATERLOO IS BACK 🎤🇵🇸

Meet us at the SLC Student Lounge at the University of Waterloo campus on March 30th, at 7PM! Join us for a @staywokeevent @wlupjc @uwvfp @nasawaterloo collaboration open-mic where we encourage you to Speak Your Truth on all things Palestine 🗣️ We invite you all to find community during this time as we are filled with grief, anger, sadness and utter horror for what we are witnessing in Gaza. 

Performer and attendee registration link is in our bio. 🎤

Drinks and snacks will be served ☕️

Registration will close March 28th at 11:59PM, and performer applicants will receive confirmations by the 29th. Performance topics must be related to Palestine. 

There is no ticket fee and all UWaterloo and Laurier students, alumni, and community members are welcome to attend!",https://bug-free-octo-spork.s3.us-east-2.amazonaws.com/events/2e561064-829f-4f19-8538-0befb5e0d5f3.jpg,University of Waterloo,WUSA,uwvfp,https://www.instagram.com/p/DVtl-hvkY7Q/
5152,End of Term Estimathon®,Data Science Club,"Academic, Social & Games","Mon, 30 Mar 2026 11:30 PM UTC","Tue, 31 Mar 2026 01:00 AM UTC",E7 IDEAs Clinic,,"Shawarma wraps, soft drinks",False,CONFIRMED,"we’re closing out the term with our EOT Estimathon® 📐📊

think fast, estimate smarter, and grab your Jane Street t-shirt 😎

📅 Mar 30 | 7:30–9:00 PM
📍 E7 Ideas Clinic
🌯 Shawarma wraps & soft drinks included",https://bug-free-octo-spork.s3.us-east-2.amazonaws.com/events/6c8f99fa-154d-45f1-b5f2-71b5c2381b4a.jpg,University of Waterloo,Student Society,uwaterloodsc,https://www.instagram.com/p/DWZcojeASGb/
4932,Storms in ArcGIS Workshop,UW Geospatial Club,Academic,"Tue, 31 Mar 2026 06:30 PM UTC","Tue, 31 Mar 2026 08:00 PM UTC",TBA,,,True,CONFIRMED,"Register now: https://forms.gle/G9maZgUAHKtoRDaPA 

UW Geospatial Club is excited to announce a joint workshop with the Canadian Severe Storms Laboratory (CSSL) on Tuesday, March 31st from 2:30 P.M - 4:00 PM!

The session will be led by Aaron Jaffe (NTP Engineering Researcher and Lead Surveyor), and Maia Somers (Western University Libraries GIS Technical Specialist). In this workshop, you’ll be introduced to the research of the CSSL, with a focus on severe wind investigations by the Northern Tornadoes Project (NTP). Learn how the NTP collects and processes storm data, and take part in a hands-on demo exploring severe wind event data in ArcGIS Online.

This workshop is open to all skill levels; no prior experience needed!",https://bug-free-octo-spork.s3.us-east-2.amazonaws.com/events/77e9aeeb-7745-42df-a6e9-f7526fbd58e4.jpg,University of Waterloo,WUSA,uwgeospatial,https://www.instagram.com/p/DV_wDjmjpF9/
5093,De-Stress With WiE,Women in Engineering,"Social & Games, Creative Arts","Tue, 31 Mar 2026 08:15 PM UTC","Tue, 31 Mar 2026 10:00 PM UTC",PSE (E7) Faculty Hall (7303/7363),,Snacks,True,CONFIRMED,"Looking to escape some of the stress of finals season? Come join WiE at our EOT Destress Night! 🍵☀️

Hang out with other Women in Engineering as we engage in all 5 senses through slime making, snacks, bracelet making, colouring, and more!

🗓️ Tuesday, March 31st
🕠 4:15-6:00 PM
📍 PSE (E7) Faculty Hall (7303/7363)

Sign up for your spot with the link in bio!!",https://bug-free-octo-spork.s3.us-east-2.amazonaws.com/events/137a0b16-6838-4635-8844-6140b16a46e0.jpg,University of Waterloo,Student Society,uwaterloowie,https://www.instagram.com/p/DWRW3l-kRN9/
5046,Unlock Your Co-Op Journey With Faire x NSBE,National Society of Black Engineers,Career & Networking,"Tue, 31 Mar 2026 08:30 PM UTC","Tue, 31 Mar 2026 11:00 PM UTC",Faire Waterloo Office,,Yes!,True,CONFIRMED,"Join us for Unlock Your Co-op Journey with Faire x NSBE — an exclusive event for University of Waterloo engineering students to connect, learn, and explore exciting opportunities with Faire!

✨ What to expect:
• Insider look into Faire’s engineering culture
• Learn about Fall 2026 Software Engineering co-op roles
• Panel with current co-op engineers
• Networking + light refreshments

📅 Date: Tuesday, March 31, 2026
⏰ Time: 4:30 – 7:00 PM
📍 Location: Faire Waterloo Office (shared after registration)",https://bug-free-octo-spork.s3.us-east-2.amazonaws.com/events/a317b250-d058-4bc3-bca7-dd171774654a.jpg,University of Waterloo,Student Society,nsbe.waterloo,https://www.instagram.com/p/DWJuoMkDeu2/
